--- asteroids vs asteroids ---
0 1 0.0171075 0.785398
0 2 0.00454793 -0.632359
0 3 0.0091048 -0.785398
0 4 1.61779 0.785398
1 2 0.00629017 -0.102355
1 3 0.0261317 -0.226038
1 4 0.0157305 0.785398
2 3 0.0240527 0.0141043
2 4 0.00497467 -0.687133
3 4 0.00942782 -0.785398
--- asteroids vs planets ---
0 0 0.0379392 0.0848332
0 1 0.0274902 0.490626
0 2 0.0835809 0.785398
0 3 0.0457557 0.763011
0 4 0.0442229 0.0508072
1 0 0.196907 0.785398
1 1 0.046063 0.785398
1 2 0.0267063 -0.785398
1 3 0.036181 -0.785398
1 4 0.252352 -0.785398
2 0 0.0337782 0.785398
2 1 0.079537 0.76848
2 2 0.0225768 0.309227
2 3 0.0434567 0.431352
2 4 0.0334128 0.785398
3 0 0.0305802 0.785398
3 1 0.0886433 0.785398
3 2 0.0330304 0.534391
3 3 0.0672933 0.785398
3 4 0.0306658 0.785398
4 0 0.0336138 0.167483
4 1 0.0231705 0.552285
4 2 0.0607993 0.785398
4 3 0.0364511 0.785398
4 4 0.0393662 0.137067

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0171075 0.785398
0 2 0.00454793 -0.632359
0 3 0.0091048 -0.785398
0 4 1.61777 0.785398
1 2 0.00629017 -0.102355
1 3 0.0261317 -0.226038
1 4 0.0157305 0.785398
2 3 0.0240527 0.0141043
2 4 0.00497467 -0.687133
3 4 0.00942782 -0.785398
--- asteroids vs planets ---
0 0 0.0379392 0.0848333
0 1 0.0274902 0.490626
0 2 0.0835809 0.785398
0 3 0.0457557 0.763011
0 4 0.0442229 0.0508071
1 0 0.196907 0.785398
1 1 0.046063 0.785398
1 2 0.0267063 -0.785398
1 3 0.036181 -0.785398
1 4 0.252352 -0.785398
2 0 0.0337782 0.785398
2 1 0.079537 0.76848
2 2 0.0225768 0.309227
2 3 0.0434567 0.431352
2 4 0.0334128 0.785398
3 0 0.0305802 0.785398
3 1 0.0886434 0.785398
3 2 0.0330304 0.534391
3 3 0.0672933 0.785398
3 4 0.0306658 0.785398
4 0 0.0336138 0.167484
4 1 0.0231705 0.552285
4 2 0.0607993 0.785398
4 3 0.0364511 0.785398
4 4 0.0393662 0.137067

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0171075 0.785398
0 2 0.00454793 -0.632359
0 3 0.0091048 -0.785398
0 4 1.61774 0.785398
1 2 0.00629017 -0.102355
1 3 0.0261317 -0.226038
1 4 0.0157304 0.785398
2 3 0.0240527 0.0141043
2 4 0.00497467 -0.687134
3 4 0.00942781 -0.785398
--- asteroids vs planets ---
0 0 0.0379392 0.0848335
0 1 0.0274902 0.490626
0 2 0.0835809 0.785398
0 3 0.0457557 0.763011
0 4 0.0442229 0.0508069
1 0 0.196907 0.785398
1 1 0.046063 0.785398
1 2 0.0267063 -0.785398
1 3 0.036181 -0.785398
1 4 0.252353 -0.785398
2 0 0.0337782 0.785398
2 1 0.079537 0.76848
2 2 0.0225768 0.309227
2 3 0.0434567 0.431352
2 4 0.0334128 0.785398
3 0 0.0305803 0.785398
3 1 0.0886434 0.785398
3 2 0.0330304 0.534391
3 3 0.0672934 0.785398
3 4 0.0306658 0.785398
4 0 0.0336138 0.167484
4 1 0.0231705 0.552285
4 2 0.0607993 0.785398
4 3 0.0364511 0.785398
4 4 0.0393662 0.137067

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0171075 0.785398
0 2 0.00454793 -0.632358
0 3 0.0091048 -0.785398
0 4 1.61769 0.785398
1 2 0.00629017 -0.102355
1 3 0.0261317 -0.226038
1 4 0.0157304 0.785398
2 3 0.0240527 0.0141043
2 4 0.00497467 -0.687134
3 4 0.00942781 -0.785398
--- asteroids vs planets ---
0 0 0.0379392 0.0848338
0 1 0.0274902 0.490626
0 2 0.0835809 0.785398
0 3 0.0457557 0.763011
0 4 0.0442229 0.0508066
1 0 0.196906 0.785398
1 1 0.046063 0.785398
1 2 0.0267063 -0.785398
1 3 0.036181 -0.785398
1 4 0.252353 -0.785398
2 0 0.0337782 0.785398
2 1 0.079537 0.76848
2 2 0.0225768 0.309227
2 3 0.0434568 0.431352
2 4 0.0334127 0.785398
3 0 0.0305803 0.785398
3 1 0.0886434 0.785398
3 2 0.0330304 0.534391
3 3 0.0672934 0.785398
3 4 0.0306658 0.785398
4 0 0.0336138 0.167484
4 1 0.0231705 0.552285
4 2 0.0607993 0.785398
4 3 0.0364511 0.785398
4 4 0.0393662 0.137067

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0171076 0.785398
0 2 0.00454793 -0.632358
0 3 0.00910481 -0.785398
0 4 1.61762 0.785398
1 2 0.00629017 -0.102355
1 3 0.0261317 -0.226038
1 4 0.0157304 0.785398
2 3 0.0240527 0.0141043
2 4 0.00497467 -0.687135
3 4 0.0094278 -0.785398
--- asteroids vs planets ---
0 0 0.0379391 0.0848341
0 1 0.0274902 0.490626
0 2 0.0835809 0.785398
0 3 0.0457557 0.763011
0 4 0.0442229 0.0508063
1 0 0.196906 0.785398
1 1 0.046063 0.785398
1 2 0.0267063 -0.785398
1 3 0.036181 -0.785398
1 4 0.252353 -0.785398
2 0 0.0337783 0.785398
2 1 0.079537 0.76848
2 2 0.0225768 0.309227
2 3 0.0434568 0.431352
2 4 0.0334127 0.785398
3 0 0.0305803 0.785398
3 1 0.0886434 0.785398
3 2 0.0330304 0.534391
3 3 0.0672934 0.785398
3 4 0.0306657 0.785398
4 0 0.0336137 0.167484
4 1 0.0231705 0.552285
4 2 0.0607993 0.785398
4 3 0.0364511 0.785398
4 4 0.0393662 0.137066

******************** ITERATION *******************
