--- asteroids vs asteroids ---
0 1 0.0167064 0.333162
0 2 0.00413208 -0.285456
0 3 0.00337367 -0.720305
0 4 0.00428505 0.528238
1 2 0.00915225 -0.740622
1 3 0.00429287 -0.425461
1 4 0.00254686 0.215193
2 3 0.0181074 0.674362
2 4 0.0026682 0.619834
3 4 0.0048426 0.291372
--- asteroids vs planets ---
0 0 0.240373 0.42817
0 1 0.0539088 0.623704
0 2 0.0284495 0.0560261
0 3 0.0317896 -0.345193
0 4 0.0927076 -0.493664
1 0 0.0185578 -0.26913
1 1 0.0168681 -0.57931
1 2 0.0301488 0.732731
1 3 0.0899764 0.434921
1 4 0.0752732 -0.487276
2 0 0.0151374 -0.613947
2 1 0.0198835 -0.284352
2 2 0.0685162 -0.678199
2 3 0.1439 -0.381794
2 4 0.0208698 0.055321
3 0 0.154508 0.402645
3 1 16.3492 0.217021
3 2 0.0923931 -0.0556768
3 3 0.0424952 -0.635241
3 4 0.0250686 0.215263
4 0 0.108801 0.409641
4 1 0.0391458 0.0483519
4 2 0.0269586 0.246305
4 3 0.0353372 -0.141622
4 4 0.203786 -0.268521
5 0 0.0181347 -0.637506
5 1 0.0177829 -0.0127862
5 2 0.0356687 0.640306
5 3 0.11285 0.287741
5 4 0.0546002 -0.392029
6 0 0.0183768 -0.504586
6 1 0.0266077 -0.0544092
6 2 0.121179 -0.240183
6 3 0.176805 0.0187925
6 4 0.02129 0.199225
7 0 0.655839 -0.595175
7 1 0.105307 -0.0779324
7 2 0.0264035 -0.425642
7 3 0.0208798 -0.776044
7 4 0.0265562 -0.0459971

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.0167063 0.333161
0 2 0.00413208 -0.285456
0 3 0.00337367 -0.720305
0 4 0.00428505 0.528226
1 2 0.00915227 -0.740624
1 3 0.00429287 -0.425468
1 4 0.00254686 0.215188
2 3 0.0181074 0.674363
2 4 0.0026682 0.619834
3 4 0.0048426 0.291372
--- asteroids vs planets ---
0 0 0.240373 0.428169
0 1 0.0539087 0.623704
0 2 0.0284495 0.0560261
0 3 0.0317896 -0.345193
0 4 0.0927076 -0.493663
1 0 0.0185578 -0.26913
1 1 0.0168681 -0.579406
1 2 0.0301488 0.732731
1 3 0.0899764 0.434921
1 4 0.0752732 -0.487276
2 0 0.0151374 -0.613947
2 1 0.0198835 -0.284354
2 2 0.0685162 -0.678199
2 3 0.1439 -0.381794
2 4 0.0208698 0.0553211
3 0 0.154508 0.402645
3 1 16.3496 0.217136
3 2 0.092393 -0.0556767
3 3 0.0424952 -0.635241
3 4 0.0250686 0.215263
4 0 0.108801 0.409641
4 1 0.0391457 0.0483504
4 2 0.0269586 0.246305
4 3 0.0353372 -0.141622
4 4 0.203786 -0.268521
5 0 0.0181347 -0.637506
5 1 0.0177829 -0.0128082
5 2 0.0356687 0.640306
5 3 0.11285 0.287735
5 4 0.0546002 -0.392029
6 0 0.0183768 -0.504586
6 1 0.0266077 -0.0544111
6 2 0.121179 -0.240183
6 3 0.176805 0.0187925
6 4 0.02129 0.199225
7 0 0.655839 -0.595175
7 1 0.105307 -0.0779318
7 2 0.0264035 -0.425642
7 3 0.0208798 -0.776044
7 4 0.0265562 -0.0459888

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00452332 0.621704
0 2 0.123647 0.429953
0 3 0.00293252 0.215556
0 4 0.00173964 0.602331
1 2 0.00749154 0.668475
1 3 0.0598813 0.246965
1 4 0.00709811 0.0109806
2 3 0.00447935 0.176118
2 4 0.00239319 0.550193
3 4 0.0150031 -0.111871
--- asteroids vs planets ---
0 0 0.0386379 -0.309329
0 1 0.0988407 -0.244577
0 2 0.0552068 -0.587187
0 3 0.0486978 -0.102383
0 4 0.019164 -0.105839

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00452332 0.621704
0 2 0.123647 0.429953
0 3 0.00293252 0.215556
0 4 0.00173964 0.602331
1 2 0.00749154 0.668475
1 3 0.0598813 0.246965
1 4 0.00709811 0.0109806
2 3 0.00447935 0.176118
2 4 0.00239319 0.550193
3 4 0.0150031 -0.111871
--- asteroids vs planets ---
0 0 0.0386379 -0.309328
0 1 0.0988407 -0.244577
0 2 0.0552068 -0.587187
0 3 0.0486978 -0.102383
0 4 0.019164 -0.105839

******************** ITERATION *******************
