--- asteroids vs asteroids ---
0 1 0.00452332 0.785398
0 2 0.123647 0.785398
0 3 0.00293252 0.785398
0 4 0.00173964 0.602331
1 2 0.00749154 0.785398
1 3 0.0598813 0.246965
1 4 0.00709811 0.0109806
2 3 0.00447935 0.785398
2 4 0.00239319 0.550193
3 4 0.0150031 -0.111871
--- asteroids vs planets ---
0 0 0.0386379 -0.785398
0 1 0.0988407 -0.244577
0 2 0.0552068 -0.785398
0 3 0.0486978 -0.102383
0 4 0.019164 -0.105839
1 0 0.0708048 -0.652572
1 1 0.0249312 -0.785398
1 2 0.0697707 -0.785398
1 3 0.021296 0.785398
1 4 0.0186557 0.785398
2 0 0.0197668 -0.212748
2 1 0.019522 -0.785398
2 2 0.0230015 -0.336978
2 3 0.0207944 -0.785398
2 4 0.028833 -0.785398
3 0 0.0177159 0.785398
3 1 0.119076 0.474189
3 2 0.0248659 0.785398
3 3 0.341957 0.652398
3 4 0.306427 -0.785398
4 0 0.0550235 -0.785398
4 1 0.103863 0.0257409
4 2 0.0823534 -0.785398
4 3 0.0483038 0.0917401
4 4 0.0191777 0.0176219

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00452332 0.785398
0 2 0.123647 0.785398
0 3 0.00293252 0.785398
0 4 0.00173964 0.602331
1 2 0.00749154 0.785398
1 3 0.0598813 0.246965
1 4 0.00709811 0.0109806
2 3 0.00447935 0.785398
2 4 0.00239319 0.550193
3 4 0.0150031 -0.111871
--- asteroids vs planets ---
0 0 0.0386379 -0.785398
0 1 0.0988407 -0.244577
0 2 0.0552068 -0.785398
0 3 0.0486978 -0.102383
0 4 0.019164 -0.105839
1 0 0.0708048 -0.652572
1 1 0.0249312 -0.785398
1 2 0.0697708 -0.785398
1 3 0.021296 0.785398
1 4 0.0186557 0.785398
2 0 0.0197668 -0.212748
2 1 0.019522 -0.785398
2 2 0.0230015 -0.336978
2 3 0.0207944 -0.785398
2 4 0.028833 -0.785398
3 0 0.0177159 0.785398
3 1 0.119076 0.474189
3 2 0.0248659 0.785398
3 3 0.341957 0.652398
3 4 0.306427 -0.785398
4 0 0.0550234 -0.785398
4 1 0.103863 0.0257409
4 2 0.0823534 -0.785398
4 3 0.0483038 0.0917401
4 4 0.0191777 0.0176219

******************** ITERATION *******************
